Density: 0.87, dimension: 27700
Density: 0.87, dimension: 27800
Density: 0.87, dimension: 27900
Density: 0.87, dimension: 28000
Density: 0.87, dimension: 28100
Density: 0.87, dimension: 28200
Density: 0.87, dimension: 28300
Density: 0.87, dimension: 28400
Density: 0.87, dimension: 28500
Density: 0.87, dimension: 28600
Density: 0.87, dimension: 28700
Density: 0.87, dimension: 28800
Density: 0.87, dimension: 28900
Density: 0.87, dimension: 29000
Density: 0.87, dimension: 29100
Density: 0.87, dimension: 29200
Density: 0.87, dimension: 29300
Density: 0.87, dimension: 29400
Density: 0.87, dimension: 29500
Density: 0.87, dimension: 29600
Density: 0.87, dimension: 29700
Density: 0.87, dimension: 29800
Density: 0.87, dimension: 29900
Density: 0.88, dimension: 30000
Density: 0.88, dimension: 30100
Density: 0.88, dimension: 30200
Density: 0.88, dimension: 30300
Density: 0.88, dimension: 30400
Density: 0.88, dimension: 30500
Density: 0.88, dimension: 30600
Density: 0.88, dimension: 30700
Density: 0.88, dimension: 30800
Density: 0.88, dimension: 30900
Density: 0.88, dimension: 31000
Density: 0.88, dimension: 31100
Density: 0.88, dimension: 31200
Density: 0.88, dimension: 31300
Density: 0.88, dimension: 31400
Density: 0.88, dimension: 31500
Density: 0.88, dimension: 31600
Density: 0.88, dimension: 31700
Density: 0.88, dimension: 31800
Density: 0.88, dimension: 31900
Density: 0.88, dimension: 32000
Density: 0.88, dimension: 32100
Density: 0.88, dimension: 32200
Density: 0.88, dimension: 32300
Density: 0.88, dimension: 32400
Density: 0.88, dimension: 32500
Density: 0.88, dimension: 32600
Density: 0.88, dimension: 32700
Density: 0.88, dimension: 32800
Density: 0.88, dimension: 32900
Density: 0.88, dimension: 33000
Density: 0.88, dimension: 33100
Density: 0.89, dimension: 33200
Density: 0.89, dimension: 33300
Density: 0.89, dimension: 33400
Density: 0.89, dimension: 33500
Density: 0.89, dimension: 33600
Density: 0.89, dimension: 33700
Density: 0.89, dimension: 33800
Density: 0.89, dimension: 33900
Density: 0.89, dimension: 34000
Density: 0.89, dimension: 34100
Density: 0.89, dimension: 34200
Density: 0.89, dimension: 34300
Density: 0.89, dimension: 34400
Density: 0.89, dimension: 34500
Density: 0.89, dimension: 34600
Density: 0.89, dimension: 34700
Density: 0.89, dimension: 34800
Density: 0.89, dimension: 34900
Density: 0.89, dimension: 35000
Density: 0.89, dimension: 35100
Density: 0.89, dimension: 35200
Density: 0.89, dimension: 35300
Density: 0.89, dimension: 35400
Density: 0.89, dimension: 35500
Density: 0.89, dimension: 35600
Density: 0.89, dimension: 35700
Density: 0.89, dimension: 35800
Density: 0.89, dimension: 35900
Density: 0.89, dimension: 36000
Density: 0.89, dimension: 36100
Density: 0.89, dimension: 36200
Density: 0.89, dimension: 36300
Density: 0.89, dimension: 36400
Density: 0.89, dimension: 36500
Density: 0.89, dimension: 36600
Density: 0.89, dimension: 36700
Density: 0.89, dimension: 36800
Density: 0.89, dimension: 36900
Density: 0.89, dimension: 37000
Density: 0.89, dimension: 37100
Density: 0.90, dimension: 37200
Density: 0.90, dimension: 37300
Density: 0.90, dimension: 37400
Density: 0.90, dimension: 37500
Density: 0.90, dimension: 37600
Density: 0.90, dimension: 37700
Density: 0.90, dimension: 37800
Density: 0.90, dimension: 37900
Density: 0.90, dimension: 38000
Density: 0.90, dimension: 38100
Density: 0.90, dimension: 38200
Density: 0.90, dimension: 38300
Density: 0.90, dimension: 38400
Density: 0.90, dimension: 38500
Density: 0.90, dimension: 38600
Density: 0.90, dimension: 38700
Density: 0.90, dimension: 38800
Density: 0.90, dimension: 38900
Density: 0.90, dimension: 39000
Density: 0.90, dimension: 39100
Density: 0.90, dimension: 39200
Density: 0.90, dimension: 39300
Density: 0.90, dimension: 39400
Density: 0.90, dimension: 39500
Density: 0.90, dimension: 39600
Density: 0.90, dimension: 39700
Density: 0.90, dimension: 39800
Density: 0.90, dimension: 39900
Density: 0.90, dimension: 40000
Density: 0.90, dimension: 40100
Density: 0.90, dimension: 40200
Density: 0.90, dimension: 40300
Density: 0.90, dimension: 40400
Density: 0.90, dimension: 40500
Density: 0.90, dimension: 40600
Density: 0.90, dimension: 40700
Density: 0.90, dimension: 40800
Density: 0.90, dimension: 40900
Density: 0.90, dimension: 41000
Density: 0.90, dimension: 41100
Density: 0.90, dimension: 41200
Density: 0.90, dimension: 41300
Density: 0.90, dimension: 41400
Density: 0.90, dimension: 41500
Density: 0.90, dimension: 41600
Density: 0.90, dimension: 41700
Density: 0.90, dimension: 41800
Density: 0.90, dimension: 41900
Density: 0.90, dimension: 42000
Density: 0.91, dimension: 42100
Density: 0.91, dimension: 42200
Density: 0.91, dimension: 42300
Density: 0.91, dimension: 42400
Density: 0.91, dimension: 42500
Density: 0.91, dimension: 42600
Density: 0.91, dimension: 42700
Density: 0.91, dimension: 42800
Density: 0.91, dimension: 42900
Density: 0.91, dimension: 43000
Density: 0.91, dimension: 43100
Density: 0.91, dimension: 43200
Density: 0.91, dimension: 43300
Density: 0.91, dimension: 43400
Density: 0.91, dimension: 43500
Density: 0.91, dimension: 43600
Density: 0.91, dimension: 43700
Density: 0.91, dimension: 43800
Density: 0.91, dimension: 43900
Density: 0.91, dimension: 44000
Density: 0.91, dimension: 44100
Density: 0.91, dimension: 44200
Density: 0.91, dimension: 44300
Density: 0.91, dimension: 44400
Density: 0.91, dimension: 44500
Density: 0.91, dimension: 44600
Density: 0.91, dimension: 44700
Density: 0.91, dimension: 44800
Density: 0.91, dimension: 44900
Density: 0.91, dimension: 45000
Density: 0.91, dimension: 45100
Density: 0.91, dimension: 45200
Density: 0.91, dimension: 45300
Density: 0.91, dimension: 45400
Density: 0.91, dimension: 45500
Density: 0.91, dimension: 45600
Density: 0.91, dimension: 45700
Density: 0.91, dimension: 45800
Density: 0.91, dimension: 45900
Density: 0.91, dimension: 46000
Density: 0.91, dimension: 46100
Density: 0.91, dimension: 46200
Density: 0.91, dimension: 46300
Density: 0.91, dimension: 46400
Density: 0.91, dimension: 46500
Density: 0.91, dimension: 46600
Density: 0.91, dimension: 46700
